transaction_id,account_id,transaction_type,amount,transaction_date,channel
1,895,Deposit,32991.88,2023/12/30,Mobile
2,24,Deposit,42038.59,2023/08/20,Branch
3,756,Loan Payment,30185.67,2025/03/04,ATM
4,537,Withdrawal,31489.51,2023/01/04,Online
5,320,Deposit,31013.66,2023/01/07,Mobile
6,325,Withdrawal,27022.84,2024/08/06,Branch
7,268,Withdrawal,37074.10,2025/05/25,Branch
8,723,Deposit,11183.48,2025/02/28,ATM
9,532,Deposit,24232.37,2023/09/10,Online
10,690,Deposit,42066.18,2025/10/08,Online
11,880,Withdrawal,40997.50,2024/08/25,Online
12,50,Withdrawal,1023.30,2024/11/11,Mobile
13,333,Deposit,40166.05,2025/05/31,ATM
14,108,Loan Payment,36409.94,2023/10/06,Branch
15,803,Deposit,4453.40,2023/08/16,Online
16,771,Withdrawal,16526.86,2025/03/23,ATM
17,498,Loan Payment,15892.03,2024/05/16,Mobile
18,298,Loan Payment,21231.97,2025/05/05,Branch
19,6,Deposit,34160.98,2025/02/11,Branch
20,734,Withdrawal,4281.53,2025/11/25,Branch
21,899,Deposit,32241.75,2023/11/19,ATM
22,637,Deposit,49753.62,2023/05/28,ATM
23,775,Loan Payment,4674.70,2023/09/14,Branch
24,401,Deposit,33175.13,2025/02/04,Online
25,628,Deposit,28353.97,2024/05/09,Branch
26,607,Deposit,48107.81,2024/05/20,Branch
27,429,Deposit,1571.09,2025/10/06,ATM
28,85,Withdrawal,21836.22,2024/10/09,Online
29,437,Loan Payment,29587.92,2024/05/15,ATM
30,971,Loan Payment,33038.11,2025/10/28,ATM
31,689,Withdrawal,14427.20,2024/07/30,Online
32,334,Withdrawal,33281.51,2023/03/12,Mobile
33,191,Loan Payment,26224.09,2025/06/18,ATM
34,76,Deposit,30303.92,2024/08/16,Online
35,106,Loan Payment,42479.24,2024/08/13,Online
36,622,Deposit,35673.55,2025/07/22,Mobile
37,623,Withdrawal,25051.23,2023/11/20,Mobile
38,17,Withdrawal,4936.18,2024/12/23,ATM
39,847,Withdrawal,33112.41,2025/02/10,Online
40,698,Withdrawal,24968.69,2024/03/07,Mobile
41,671,Loan Payment,43170.92,2024/03/02,Branch
42,79,Loan Payment,33558.13,2023/08/11,Mobile
43,887,Withdrawal,40568.13,2025/11/19,Branch
44,101,Deposit,40911.68,2025/09/08,Mobile
45,480,Withdrawal,31664.66,2025/10/05,Mobile
46,786,Deposit,6149.53,2023/04/24,ATM
47,869,Withdrawal,49679.76,2023/09/04,Branch
48,6,Withdrawal,38081.18,2025/06/07,ATM
49,440,Withdrawal,23309.34,2024/09/13,Mobile
50,86,Deposit,30259.11,2025/07/19,Mobile
51,893,Deposit,818.43,2025/08/12,Online
52,257,Deposit,22286.34,2024/06/04,Online
53,600,Deposit,31883.94,2024/07/27,Mobile
54,61,Withdrawal,23628.43,2025/09/27,Mobile
55,175,Deposit,35165.66,2023/12/08,ATM
56,890,Deposit,7272.41,2023/12/13,Mobile
57,463,Withdrawal,45489.70,2025/08/18,Mobile
58,32,Loan Payment,15325.17,2024/07/21,Online
59,284,Loan Payment,16863.76,2023/07/09,Online
60,177,Deposit,36256.45,2025/01/23,Branch
61,159,Deposit,32926.91,2025/06/27,Mobile
62,707,Withdrawal,31464.21,2024/04/20,Mobile
63,464,Withdrawal,11301.85,2025/09/17,Branch
64,321,Deposit,21096.00,2024/12/19,Online
65,870,Deposit,40134.38,2024/03/11,Online
66,172,Loan Payment,4434.90,2023/07/14,Branch
67,484,Loan Payment,48110.00,2023/05/24,Branch
68,511,Deposit,42487.47,2023/09/12,Mobile
69,833,Deposit,33671.53,2024/06/30,Online
70,41,Loan Payment,40945.01,2025/08/20,Mobile
71,319,Withdrawal,32661.33,2024/12/07,Mobile
72,951,Loan Payment,3693.00,2024/12/02,ATM
73,81,Withdrawal,32193.50,2025/07/29,ATM
74,473,Deposit,19321.21,2025/04/22,Branch
75,788,Deposit,37900.47,2025/02/17,ATM
76,913,Deposit,29312.25,2025/09/25,Branch
77,91,Withdrawal,37572.56,2024/05/06,ATM
78,927,Deposit,30112.33,2024/02/16,Online
79,259,Loan Payment,16016.27,2025/12/10,Branch
80,753,Deposit,17033.69,2024/12/27,ATM
81,8,Withdrawal,41428.51,2024/12/11,Branch
82,711,Deposit,6259.82,2024/02/14,ATM
